"Parcel" "x" "y"
"132" 132 4417653.72673313 5334562.35811901
"133" 133 4417610.16733832 5334561.77297768
"134" 134 4417569.60571928 5334566.47173741
"135" 135 4417529.22443098 5334568.35624841
"136" 136 4417482.10968055 5334572.75510227
"137" 137 4417441.88236162 5334578.70840815
"138" 138 4417409.10622596 5334575.59961066
"139" 139 4417369.69737107 5334571.82323094
"140" 140 4417329.04412638 5334572.58641581
"141" 141 4417302.63878 5334557.36513
"142" 142 4417279.57864 5334527.62758
"143" 143 4417308.13660386 5334542.43518581
"144" 144 4417347.4928358 5334540.75537065
"145" 145 4417384.56891161 5334535.70384872
"146" 146 4417419.24366415 5334534.4084842
"147" 147 4417458.94204667 5334542.46860628
"148" 148 4417504.16044418 5334539.67061761
"149" 149 4417544.23352016 5334534.49972213
"150" 150 4417588.65844331 5334530.94734445
"151" 151 4417632.2913357 5334527.81004864
"152" 152 4417672.58297065 5334526.3121429
"153" 153 4417706.78665658 5334522.16565518
"154" 154 4417724.73565667 5334518.76999
"155" 155 4417763.05020115 5334526.84299674
"156" 156 4417800.07996 5334507.73615
"157" 157 4417770.23981 5334478.38679
"158" 158 4417758.16721877 5334495.91685499
"159" 159 4417718.07023501 5334487.35068832
"160" 160 4417686.51498787 5334488.95738845
"161" 161 4417650.39153377 5334491.56879206
"162" 162 4417609.66876434 5334493.96013563
"163" 163 4417561.68363252 5334496.65273972
"164" 164 4417520.47731184 5334499.36463007
"165" 165 4417482.28950271 5334506.24889789
"166" 166 4417442.57668013 5334503.74810768
"167" 167 4417400.24695657 5334496.7442936
"168" 168 4417356.15327509 5334500.59372297
"169" 169 4417316.51806741 5334508.02772097
"170" 170 4417291.75564333 5334515.31119
"171" 171 4417283.7376 5334492.76493
"172" 172 4417268.05415 5334455.69191
"173" 173 4417297.42477282 5334468.7938273
"174" 174 4417332.77555409 5334471.46256789
"175" 175 4417375.41998283 5334466.70552434
"176" 176 4417421.32257588 5334466.59181972
"177" 177 4417459.66152638 5334470.05358425
"178" 178 4417495.94934389 5334467.74400164
