"Parcel" "box1" "box2" "Subparcel"
"97" 97 194 193 "97_1"
"971" 97 193 210 "97_2"
"972" 97 210 209 "97_3"
"973" 97 209 194 "97_4"
"98" 98 193 192 "98_1"
"981" 98 192 211 "98_2"
"982" 98 211 210 "98_3"
"983" 98 210 193 "98_4"
"99" 99 192 191 "99_1"
"991" 99 191 212 "99_2"
"992" 99 212 211 "99_3"
"993" 99 211 192 "99_4"
"100" 100 191 190 "100_1"
"1001" 100 190 213 "100_2"
"1002" 100 213 212 "100_3"
"1003" 100 212 191 "100_4"
"101" 101 190 213 "101_1"
"102" 102 189 190 "102_1"
"103" 103 188 189 "103_1"
"1031" 103 189 190 "103_2"
"1032" 103 190 191 "103_3"
"1033" 103 191 188 "103_4"
"104" 104 187 188 "104_1"
"1041" 104 188 191 "104_2"
"1042" 104 191 192 "104_3"
"1043" 104 192 187 "104_4"
"105" 105 186 187 "105_1"
"1051" 105 187 192 "105_2"
"1052" 105 192 193 "105_3"
"1053" 105 193 186 "105_4"
"106" 106 185 186 "106_1"
"1061" 106 186 193 "106_2"
"1062" 106 193 194 "106_3"
"1063" 106 194 185 "106_4"
"107" 107 184 185 "107_1"
"1071" 107 185 194 "107_2"
"1072" 107 194 195 "107_3"
"1073" 107 195 184 "107_4"
"108" 108 183 184 "108_1"
"1081" 108 184 195 "108_2"
"1082" 108 195 196 "108_3"
"1083" 108 196 183 "108_4"
"109" 109 182 183 "109_1"
"1091" 109 183 196 "109_2"
"1092" 109 196 197 "109_3"
"1093" 109 197 182 "109_4"
"110" 110 181 182 "110_1"
"1101" 110 182 197 "110_2"
"1102" 110 197 198 "110_3"
"1103" 110 198 181 "110_4"
"111" 111 180 181 "111_1"
"1111" 111 181 198 "111_2"
"1112" 111 198 199 "111_3"
"1113" 111 199 180 "111_4"
"112" 112 179 180 "112_1"
"1121" 112 180 199 "112_2"
"1122" 112 199 200 "112_3"
"1123" 112 200 179 "112_4"
"113" 113 178 179 "113_1"
"1131" 113 179 200 "113_2"
"1132" 113 200 201 "113_3"
"1133" 113 201 178 "113_4"
"114" 114 178 201 "114_1"
"115" 115 177 178 "115_1"
"116" 116 177 176 "116_1"
"1161" 116 176 179 "116_2"
"1162" 116 179 178 "116_3"
"1163" 116 178 177 "116_4"
"117" 117 176 175 "117_1"
"1171" 117 175 180 "117_2"
"1172" 117 180 179 "117_3"
"1173" 117 179 176 "117_4"
"118" 118 175 174 "118_1"
"1181" 118 174 181 "118_2"
"1182" 118 181 180 "118_3"
"1183" 118 180 175 "118_4"
"119" 119 174 173 "119_1"
"1191" 119 173 182 "119_2"
"1192" 119 182 181 "119_3"
"1193" 119 181 174 "119_4"
"120" 120 173 172 "120_1"
"1201" 120 172 183 "120_2"
"1202" 120 183 182 "120_3"
"1203" 120 182 173 "120_4"
"121" 121 172 171 "121_1"
"1211" 121 171 184 "121_2"
"1212" 121 184 183 "121_3"
"1213" 121 183 172 "121_4"
"122" 122 171 170 "122_1"
"1221" 122 170 185 "122_2"
"1222" 122 185 184 "122_3"
"1223" 122 184 171 "122_4"
"123" 123 170 169 "123_1"
"1231" 123 169 186 "123_2"
"1232" 123 186 185 "123_3"
"1233" 123 185 170 "123_4"
"124" 124 169 168 "124_1"
"1241" 124 168 187 "124_2"
"1242" 124 187 186 "124_3"
"1243" 124 186 169 "124_4"
"125" 125 168 167 "125_1"
"1251" 125 167 188 "125_2"
"1252" 125 188 187 "125_3"
"1253" 125 187 168 "125_4"
"126" 126 167 166 "126_1"
"1261" 126 166 189 "126_2"
"1262" 126 189 188 "126_3"
"1263" 126 188 167 "126_4"
"127" 127 166 165 "127_1"
"1271" 127 165 189 "127_2"
"1272" 127 189 166 "127_3"
"128" 128 165 189 "128_1"
"129" 129 164 165 "129_1"
"1291" 129 165 166 "129_2"
"1292" 129 166 164 "129_3"
"130" 130 163 164 "130_1"
"1301" 130 164 166 "130_2"
"1302" 130 166 167 "130_3"
"1303" 130 167 163 "130_4"
"1314" 131 162 163 "131_1"
"1311" 131 163 167 "131_2"
"1312" 131 167 168 "131_3"
"1313" 131 168 162 "131_4"
"1324" 132 161 162 "132_1"
"1321" 132 162 168 "132_2"
"1322" 132 168 169 "132_3"
"1323" 132 169 161 "132_4"
"1334" 133 160 161 "133_1"
"1331" 133 161 169 "133_2"
"1332" 133 169 170 "133_3"
"1333" 133 170 160 "133_4"
"134" 134 159 160 "134_1"
"1341" 134 160 170 "134_2"
"1342" 134 170 171 "134_3"
"1343" 134 171 159 "134_4"
"135" 135 158 159 "135_1"
"1351" 135 159 171 "135_2"
"1352" 135 171 172 "135_3"
"1353" 135 172 158 "135_4"
"136" 136 157 158 "136_1"
"1361" 136 158 172 "136_2"
"1362" 136 172 173 "136_3"
"1363" 136 173 157 "136_4"
"137" 137 156 157 "137_1"
"1371" 137 157 173 "137_2"
"1372" 137 173 174 "137_3"
"1373" 137 174 156 "137_4"
"138" 138 155 156 "138_1"
"1381" 138 156 174 "138_2"
"1382" 138 174 175 "138_3"
"1383" 138 175 155 "138_4"
"139" 139 154 155 "139_1"
"1391" 139 155 175 "139_2"
"1392" 139 175 176 "139_3"
"1393" 139 176 154 "139_4"
"140" 140 153 154 "140_1"
"1401" 140 154 176 "140_2"
"1402" 140 176 177 "140_3"
"1403" 140 177 153 "140_4"
"1411" 141 153 177 "141_1"
"1421" 142 152 153 "142_1"
"1434" 143 152 151 "143_1"
"1431" 143 151 154 "143_2"
"1432" 143 154 153 "143_3"
"1433" 143 153 152 "143_4"
"144" 144 151 150 "144_1"
"1441" 144 150 155 "144_2"
