"","ID","transponder"
"390","B2X3954","ED4A24B43A6F0001"
"391","B2X3955","E146C4B43A6F0001"
"392","B2X3954","6A8DC4B43A6F0001"
"393","B2X3953","AFF524B43A6F0001"
"394","B2X4190","AEO3C4B43A6F0001"
"395","B2X3857","5FC924B43A6F0001"
"396","B2V8800","2F46C4B43A6F0001"
"397","B2X3608","621524B43A6F0001"
"398","B2V8799","A9EDC4B43A6F0001"
"399","B2X3206","A1D524B43A6F0001"
"400","B2X3927","1CCEC4B43A6F0001"
"401","B2V8028","F5AAC4B43A6F0001"
"402","B2X3926","FD1D24B43A6F0001"
"403","B2X3925","9176C4B43A6F0001"
"404","B1V5078","B9D524B43A6F0001"
"405","B2V8701","D92DC4B43A6F0001"
"406","B2V8702","75BEC4B43A6F0001"
"407","B2V8703","5F9924B43A6F0001"
"408","B2V8704","118DC4B43A6F0001"
"409","B1V5080","7B77C4B43A6F0001"
"410","B2X3656","3C0924B43A6F0001"
"411","B2V8004","8879C4B43A6F0001"
"412","B2X3946","6976C4B43A6F0001"
"413","B2X3945","896524B43A6F0001"
"414","B2X3944","7BB924B43A6F0001"
"415","B2X3803","5CC6C4B43A6F0001"
"416","B2X3943","6C0524B43A6F0001"
"417","B2X3942","F46524B43A6F0001"
"418","B2X3854","48B924B43A6F0001"
"419","B2X3941","7A3DC4B43A6F0001"
"420","B2X3940","2165C4B43A6F0001"
"421","B2X4418","2676C4B43A6F0001"
"422","B2X3939","A2BEC4B43A6F0001"
"423","B2X3938","A52EC4B43A6F0001"
"424","B2X3936","547124B43A6F0001"
"425","B2X3935","AE3EC4B43A6F0001"
"426","B2A7698","FE8524B43A6F0001"
"427","B2X3934","D84924B43A6F0001"
"428","B2X3933","331924B43A6F0001"
"429","B2X3932","C90524B43A6F0001"
"430","B2X3930","DAF524B43A6F0001"
"431","B2X3929","7B4924B43A6F0001"
"432","B2X3928","821924B43A6F0001"
"433","B2X3937","4223C4B43A6F0001"
"434","B2V8705","CE7524B43A6F0001"
"435","B2X3864","F91524B43A6F0001"
"436","B2V8706","41DDC4B43A6F0001"
"437","B2V8495","B06AC4B43A6F0001"
"438","B2V8707","A1F9C4B43A6F0001"
"439","B2V8708","3B65C4B43A6F0001"
"440","B2V8709","0B83C4B43A6F0001"
"441","B2V8710","346D24B43A6F0001"
"442","B2V8711","7AD5C4B43A6F0001"
"443","B2V8796","CDB6C4B43A6F0001"
"444","B2X4433","C26524B43A6F0001"
"445","B2X3703","DD3924B43A6F0001"
