"year_","box1","box2","no"
2021,213,214,1
2021,214,211,1
2021,214,213,1
2021,214,216,1
2021,214,233,1
2021,214,236,1
2021,216,209,1
2021,216,211,1
2021,216,214,1
2021,216,231,1
2021,216,233,1
2021,219,195,1
2021,230,195,1
2021,219,206,1
2021,230,206,1
2021,219,209,1
2021,230,209,1
2021,219,228,1
2021,230,228,1
2021,219,231,1
2021,230,231,1
2021,219,242,1
2021,230,242,1
2021,219,251,1
2021,230,251,1
2021,221,204,1
2021,221,206,1
2021,221,226,1
2021,221,244,1
2021,221,228,1
2021,223,200,1
2021,223,204,1
2021,223,224,1
2021,223,225,1
2021,223,245,1
2021,223,226,1
2021,223,244,1
2021,224,200,1
2021,224,201,1
2021,224,223,1
2021,224,225,1
2021,224,245,1
2021,225,223,1
2021,245,223,1
2021,225,224,1
2021,245,224,1
2021,225,226,1
2021,245,226,1
2021,225,244,1
2021,245,244,1
2021,225,246,1
2021,245,246,1
2021,225,247,1
2021,245,247,1
2021,226,204,1
2021,244,204,1
2021,226,221,1
2021,244,221,1
2021,226,223,1
2021,244,223,1
2021,226,225,1
2021,244,225,1
2021,226,245,1
2021,244,245,1
2021,226,228,1
2021,244,228,1
2021,226,242,1
2021,244,242,1
2021,226,247,1
2021,244,247,1
2021,228,206,1
2021,228,219,1
2021,228,230,1
2021,228,221,1
2021,228,226,1
2021,228,244,1
2021,228,242,1
2021,231,209,1
2021,231,216,1
2021,231,219,1
2021,231,230,1
2021,231,233,1
2021,231,238,1
2021,231,239,1
2021,231,251,1
2021,231,252,1
2021,233,214,1
2021,233,216,1
2021,233,231,1
2021,233,236,1
2021,233,238,1
2021,233,239,1
2021,233,254,1
2021,236,214,1
2021,236,233,1
2021,236,254,1
2021,236,255,1
2021,238,231,1
2021,239,231,1
2021,238,233,1
2021,239,233,1
2021,238,252,1
2021,239,252,1
2021,238,254,1
2021,239,254,1
2021,238,258,1
2021,239,258,1
2021,242,219,1
2021,242,230,1
2021,242,226,1
2021,242,244,1
2021,242,228,1
2021,242,247,1
2021,242,251,1
2021,242,262,1
2021,242,263,1
2021,246,225,1
2021,246,245,1
2021,246,247,1
2021,246,266,1
2021,247,225,1
2021,247,245,1
2021,247,226,1
2021,247,244,1
2021,247,242,1
2021,247,246,1
2021,247,263,1
2021,247,266,1
2021,247,267,1
2021,251,219,1
2021,251,230,1
2021,251,231,1
2021,251,242,1
2021,251,252,1
2021,251,261,1
2021,251,262,1
2021,252,231,1
2021,252,238,1
2021,252,239,1
2021,252,251,1
2021,252,258,1
2021,252,261,1
2021,254,233,1
2021,254,236,1
2021,254,238,1
2021,254,239,1
2021,254,255,1
2021,254,258,1
2021,254,271,1
2021,255,236,1
2021,255,254,1
2021,255,256,1
2021,255,271,1
2021,256,255,1
2021,256,271,1
2021,256,273,1
2021,258,238,1
2021,258,239,1
2021,258,252,1
2021,258,254,1
2021,258,261,1
2021,258,271,1
2021,261,251,1
2021,261,252,1
2021,261,258,1
2021,261,262,1
2021,261,269,1
2021,262,242,1
2021,262,251,1
2021,262,261,1
2021,262,263,1
2021,262,269,1
2021,263,242,1
2021,263,247,1
2021,263,262,1
2021,263,267,1
2021,263,269,1
2021,263,274,1
2021,266,246,1
2021,266,247,1
2021,266,267,1
2021,266,276,1
2021,267,247,1
2021,267,263,1
2021,267,266,1
2021,267,274,1
2021,267,276,1
2021,269,261,1
2021,269,262,1
2021,269,263,1
2021,269,274,1
2021,271,254,1
2021,271,255,1
2021,271,256,1
2021,271,258,1
2021,271,273,1
2021,273,256,1
2021,273,271,1
2021,274,263,1
2021,274,267,1
2021,274,269,1
2021,274,276,1
2021,276,266,1
2021,276,267,1
2021,276,274,1
2021,276,277,1
2021,277,276,1
2021,1,6,2
2021,1,32,2
2021,1,38,2
2021,1,68,2
2021,4,7,2
2021,4,30,2
2021,4,31,2
2021,4,35,2
2021,4,36,2
2021,4,63,2
2021,4,64,2
2021,4,68,2
2021,6,1,2
2021,6,28,2
2021,6,34,2
2021,6,38,2
2021,6,41,2
2021,6,61,2
2021,6,63,2
