"","ID","sex"
"853","B2V8247",2
"854","B1V5494",2
"855","X02023807",1
"856","B2V8265",1
"857","B2V8266",2
"858","B2V8267",1
"859","B2V8268",1
"860","B2V8269",2
"861","B2V8270",1
"862","B1V5473",1
"863","B1V5393",2
"864","X01024507",1
"865","B2V8339",2
"866","B2V8340",2
"867","B2V8341",1
"868","B2V8342",2
"869","B2V8343",1
"870","B2V8344",1
"871","B2V8345",1
"872","B2V8346",2
"873","B2V8347",1
"874","B2V8348",2
"875","B2V8349",1
"876","B1P5992",2
"877","B1P5984",1
"878","X01025007",2
"879","X02025007",1
"880","X03025007",2
"881","B2F5440",2
"882","B2F5441",1
"883","B2F5442",1
"884","B2F5443",1
"885","B2F5444",2
"886","B2F5445",2
"887","B2F5446",2
"888","B1V5564",2
"889","B1V5546",1
"890","B2F5630",1
"891","B2F5631",2
"892","B2F5632",2
"893","B2F5633",2
"894","B2F5634",2
"895","B2F5635",2
"896","B2F5636",2
"897","B2F5637",2
"898","B2F5638",2
"899","B1V5395",2
"900","B1V5584",1
"901","B2V8227",1
"902","B2V8228",2
"903","B2V8229",2
"904","B2V8230",1
"905","B2V8231",1
"906","B2V8232",1
"907","B2V8233",2
"908","B2V8234",1
"909","B2V8235",2
"910","B2V8236",2
"911","B2V8237",2
"912","B1V5538",1
"913","B1V5550",2
"914","B2F5431",2
"915","B2F5432",1
"916","B2F5433",2
"917","B2F5434",2
"918","B2F5435",1
"919","B2F5436",1
"920","B2F5437",1
"921","B2F5438",2
"922","B2F5439",1
"923","B1V5476",1
"924","X01026207",1
"925","X02026207",2
"926","B2V8388",1
"927","B2V8389",2
"928","B2V8390",2
"929","B2V8391",1
"930","B2V8392",2
"931","B2V8393",1
"932","B2V8394",1
"933","B2V8395",1
"934","B2V8396",1
"935","B1V5549",2
"936","B1V5583",1
"937","B2F5621",1
"938","B2F5622",2
"939","B2F5623",1
"940","B2F5624",2
"941","B2F5625",2
"942","B2F5626",1
"943","B2F5627",2
"944","B2F5628",1
"945","B2F5629",2
"946","B1V5561",2
"947","B1V5588",1
"948","B2F5311",1
"949","B2F5312",1
"950","B2F5313",1
"951","B2F5314",1
"952","B2F5315",1
"953","B2F5316",2
"954","B2F5317",2
"955","B2F5318",2
"956","B2F5319",2
"957","B2F5320",1
"958","B1V5560",2
