"year_","no","box1","box2"
2021,7,78,2
2021,7,79,1
2021,7,79,2
2021,8,80,1
2021,8,80,2
2021,8,84,1
2021,8,84,2
2021,9,81,1
2021,9,81,2
2021,9,83,1
2021,9,83,2
2021,8,85,1
2021,8,85,2
2021,8,86,1
2021,8,86,2
2021,3,95,1
2021,3,95,2
2021,3,96,1
2021,3,96,2
2021,4,98,1
2021,4,98,2
2021,4,99,1
2021,4,99,2
2021,4,94,1
2021,4,94,2
2021,4,100,1
2021,4,100,2
2021,5,93,1
2021,5,93,2
2021,5,101,1
2021,5,101,2
2021,5,92,1
2021,5,92,2
2021,5,102,1
2021,5,102,2
2021,6,103,1
2021,6,103,2
2021,6,104,1
2021,6,104,2
2021,7,106,1
2021,7,106,2
2021,7,107,1
2021,7,107,2
2021,8,108,1
2021,8,108,2
2021,8,109,1
2021,8,109,2
2021,9,110,1
2021,9,110,2
2021,9,111,1
2021,9,111,2
2021,9,112,1
2021,9,112,2
2021,9,113,1
2021,9,113,2
2021,8,115,1
2021,8,115,2
2021,8,116,1
2021,8,116,2
2021,7,119,1
2021,7,119,2
2021,7,120,1
2021,7,120,2
2021,5,122,1
2021,5,122,2
2021,5,123,1
2021,5,123,2
2021,4,124,1
2021,4,124,2
2021,4,125,1
2021,4,125,2
2021,5,126,1
2021,5,126,2
2021,5,127,1
2021,5,127,2
2021,6,128,1
2021,6,128,2
2021,6,129,1
2021,6,129,2
2021,7,130,1
2021,7,130,2
2021,7,131,1
2021,7,131,2
2021,8,132,1
2021,8,132,2
2021,8,133,1
2021,8,133,2
2021,8,117,1
2021,8,117,2
2021,8,134,1
2021,8,134,2
2021,9,135,1
2021,9,135,2
2021,9,136,1
2021,9,136,2
2021,10,137,1
2021,10,137,2
2021,10,138,1
2021,10,138,2
2021,10,139,1
2021,10,139,2
2021,10,140,1
2021,10,140,2
2021,9,141,1
2021,9,141,2
2021,9,142,1
2021,9,142,2
2021,8,144,1
2021,8,144,2
2021,8,145,1
2021,8,145,2
2021,8,146,1
2021,8,146,2
2021,8,147,1
2021,8,147,2
2021,6,149,1
2021,6,149,2
2021,6,150,1
2021,6,150,2
2021,5,151,1
2021,5,151,2
2021,5,152,1
2021,5,152,2
2021,5,153,1
2021,5,153,2
2021,5,154,1
2021,5,154,2
2021,7,155,1
2021,7,155,2
2021,7,175,1
2021,7,175,2
2021,7,121,1
2021,7,121,2
2021,7,156,1
2021,7,156,2
2021,8,148,1
2021,8,148,2
2021,8,157,1
2021,8,157,2
2021,9,158,1
2021,9,158,2
2021,9,172,1
2021,9,172,2
2021,9,159,1
2021,9,159,2
2021,9,160,1
2021,9,160,2
2021,9,161,1
2021,9,161,2
2021,9,169,1
2021,9,169,2
2021,9,143,1
2021,9,143,2
2021,9,162,1
2021,9,162,2
2021,10,163,1
2021,10,163,2
2021,10,164,1
2021,10,164,2
2021,11,165,1
2021,11,165,2
2021,11,166,1
2021,11,166,2
2021,10,167,1
2021,10,167,2
2021,10,168,1
2021,10,168,2
2021,6,176,1
2021,6,176,2
2021,6,177,1
2021,6,177,2
2021,7,178,1
2021,7,178,2
2021,7,179,1
2021,7,179,2
2021,8,174,1
2021,8,174,2
2021,8,180,1
2021,8,180,2
2021,9,181,1
2021,9,181,2
2021,9,197,1
2021,9,197,2
2021,9,173,1
2021,9,173,2
2021,9,182,1
2021,9,182,2
2021,10,183,1
2021,10,183,2
2021,10,196,1
2021,10,196,2
2021,10,184,1
2021,10,184,2
2021,10,185,1
2021,10,185,2
2021,10,186,1
2021,10,186,2
2021,10,187,1
2021,10,187,2
2021,11,188,1
2021,11,188,2
2021,11,189,1
2021,11,189,2
2021,11,190,1
2021,11,190,2
2021,11,191,1
2021,11,191,2
2021,11,192,1
2021,11,192,2
2021,11,193,1
2021,11,193,2
2021,11,194,1
2021,11,194,2
2021,11,195,1
2021,11,195,2
2021,9,198,1
2021,9,198,2
2021,9,199,1
2021,9,199,2
2021,8,105,1
2021,8,105,2
2021,8,200,1
2021,8,200,2
2021,8,118,1
2021,8,118,2
2021,8,201,1
2021,8,201,2
2021,9,204,1
2021,9,204,2
2021,9,205,1
2021,9,205,2
2021,10,206,1
2021,10,206,2
2021,10,207,1
2021,10,207,2
2021,12,208,1
2021,12,208,2
2021,12,209,1
2021,12,209,2
2021,11,210,1
2021,11,210,2
2021,11,211,1
2021,11,211,2
2021,12,212,1
2021,12,212,2
2021,12,213,1
2021,12,213,2
2021,12,214,1
2021,12,214,2
2021,12,215,1
2021,12,215,2
2021,12,216,1
2021,12,216,2
2021,12,217,1
2021,12,217,2
2021,11,219,1
2021,11,219,2
2021,11,220,1
2021,11,220,2
2021,10,221,1
2021,10,221,2
2021,10,222,1
2021,10,222,2
2021,9,203,1
2021,9,203,2
2021,9,223,1
2021,9,223,2
2021,9,202,1
2021,9,202,2
2021,9,224,1
2021,9,224,2
2021,10,51,1
2021,10,51,2
2021,10,225,1
2021,10,225,2
2021,10,90,1
2021,10,90,2
2021,10,226,1
2021,10,226,2
2021,11,227,1
2021,11,227,2
2021,11,228,1
2021,11,228,2
2021,11,229,1
2021,11,229,2
2021,11,230,1
2021,11,230,2
2021,12,218,1
2021,12,218,2
2021,12,231,1
2021,12,231,2
